OBJECTID,Oceans,Regions,SubRegions,Country,State,Beach Location,Marine Setting,Ocean Bottom Depth (m),Sediment Sample Depth (m),Sampling Method,Transect Number,Sampling Point on Beach,Volunteers Number,Collecting Time (min),Microplastics Measurement (density),Unit,Density Class Range,Concentration Class,Short Reference,Long Reference,DOI,Organization,Keywords,NCEI Accession Number,NCEI Accession Link,Symbology,Latitude,Longitude,Date,Mesh Size (mm),Standardized Nurdle Amount,Water Sample Depth (m),GlobalID,x,y
10903,Atlantic Ocean,Mediterranean Sea,Aegean Sea,,,,Ocean water,,,Manta net,,,,,0.357143,pieces/m3,0.005-1,Medium,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,"Ocean Surface, Medium, 0.005-1 pieces/m3",37.543,25.541,7/27/2017,0.333,,0,01571bad-d629-422a-beb0-a656657c7178,25.541,37.543
10890,Atlantic Ocean,Mediterranean Sea,Aegean Sea,,,,Ocean water,,,Manta net,,,,,0.266667,pieces/m3,0.005-1,Medium,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,"Ocean Surface, Medium, 0.005-1 pieces/m3",37.6,26.5,6/16/2015,0.333,,0,dc1cf469-2fa0-4bbb-8114-d20f0346a2c1,26.5,37.6
10889,Atlantic Ocean,Mediterranean Sea,Aegean Sea,,,,Ocean water,,,Manta net,,,,,0.366667,pieces/m3,0.005-1,Medium,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,"Ocean Surface, Medium, 0.005-1 pieces/m3",37.6,26.5,6/16/2015,0.333,,0,a9835712-96a6-4dbf-9f89-42ab038c7772,26.5,37.6
10891,Atlantic Ocean,Mediterranean Sea,Aegean Sea,,,,Ocean water,,,Manta net,,,,,0.576667,pieces/m3,0.005-1,Medium,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,"Ocean Surface, Medium, 0.005-1 pieces/m3",37.7,26.4,6/17/2015,0.333,,0,cf1e5f81-6bf1-468a-891b-80e5c83e2959,26.4,37.7
10879,Atlantic Ocean,Mediterranean Sea,Aegean Sea,,,,Ocean water,,,Manta net,,,,,0.206667,pieces/m3,0.005-1,Medium,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,"Ocean Surface, Medium, 0.005-1 pieces/m3",37.9,24.7,6/10/2015,0.333,,0,612872c9-f1f5-4cb0-bddb-66f82d6559fa,24.7,37.9
10880,Atlantic Ocean,Mediterranean Sea,Aegean Sea,,,,Ocean water,,,Manta net,,,,,0.326667,pieces/m3,0.005-1,Medium,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,"Ocean Surface, Medium, 0.005-1 pieces/m3",37.9,24.7,6/10/2015,0.333,,0,60b2c50e-9ad2-48ed-8e97-6247d3441dad,24.7,37.9
10881,Atlantic Ocean,Mediterranean Sea,Aegean Sea,,,,Ocean water,,,Manta net,,,,,0.29,pieces/m3,0.005-1,Medium,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,"Ocean Surface, Medium, 0.005-1 pieces/m3",37.9,24.7,6/10/2015,0.333,,0,b1838ab7-66d3-4225-9180-88cc61178632,24.7,37.9
10878,Atlantic Ocean,Mediterranean Sea,Aegean Sea,,,,Ocean water,,,Manta net,,,,,0.1,pieces/m3,0.005-1,Medium,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,"Ocean Surface, Medium, 0.005-1 pieces/m3",37.8,24.4,6/9/2015,0.333,,0,277a98a6-6e4d-45d4-9e64-efeaf69289fb,24.4,37.8
10904,Atlantic Ocean,Mediterranean Sea,Aegean Sea,,,,Ocean water,,,Manta net,,,,,0.159524,pieces/m3,0.005-1,Medium,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,"Ocean Surface, Medium, 0.005-1 pieces/m3",37.471,25.159,7/27/2017,0.333,,0,eb8cccd0-f6ca-4b96-97fa-3cab2f083c15,25.159,37.471
10884,Atlantic Ocean,Mediterranean Sea,Aegean Sea,,,,Ocean water,,,Manta net,,,,,0.066667,pieces/m3,0.005-1,Medium,Adamopoulou et al.2021,"Adamopoulou, A., C. Zeri, F. Garaventa, C. Gambardella, C. Ioakeimidis, E. Pitta. 2021. Distribution Patterns of Floating Microplastics in Open and Coastal Waters of the Eastern Mediterranean Sea (Ionian, Aegean, and Levantine Seas). Frontiers in Marine Science 8:699000",https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",RV Filia/RV Aegeao,259524,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259524,"Ocean Surface, Medium, 0.005-1 pieces/m3",37.5,25.3,6/14/2015,0.333,,0,65081d9d-791e-45f3-ae42-7508db1d403f,25.3,37.5
