OBJECTID,Oceans,Regions,SubRegions,Country,State,Beach Location,Marine Setting,Ocean Bottom Depth (m),Sediment Sample Depth (m),Sampling Method,Transect Number,Sampling Point on Beach,Volunteers Number,Collecting Time (min),Microplastics Measurement (density),Unit,Density Class Range,Concentration Class,Short Reference,Long Reference,DOI,Organization,Keywords,NCEI Accession Number,NCEI Accession Link,Symbology,Latitude,Longitude,Date,Mesh Size (mm),Standardized Nurdle Amount,Water Sample Depth (m),GlobalID,x,y
10922,Pacific Ocean,Bering Sea,,,,,Ocean water,,,Manta net,,,,,0.26,pieces/m3,0.005-1,Medium,Mu et al.2019,"Mu, J., Zhang, S., Qu, L., Jin, F, Fang, C., Ma, X., Zhang, W., Wang, J. 2019. Microplastics abundance and characteristics in surface waters from the Northwest Pacific, the Bering Sea, and the Chukchi Sea. Marine Pollution Bulletin 143, 58-65. https://doi.org/10.1016/j.marpolbul.2019.04.023",https://doi.org/10.1016/j.marpolbul.2019.04.023,"National Marine Environmental Monitoring Center, China",RV Xuelong,259525,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259525,"Ocean Surface, Medium, 0.005-1 pieces/m3",59.32,178.78,7/28/2017,0.33,,0,125fe967-247f-41fd-a2e9-dd633612e68f,178.78,59.32
10932,Pacific Ocean,,,,,,Ocean water,,,Manta net,,,,,0.035,pieces/m3,0.005-1,Medium,Mu et al.2019,"Mu, J., Zhang, S., Qu, L., Jin, F, Fang, C., Ma, X., Zhang, W., Wang, J. 2019. Microplastics abundance and characteristics in surface waters from the Northwest Pacific, the Bering Sea, and the Chukchi Sea. Marine Pollution Bulletin 143, 58-65. https://doi.org/10.1016/j.marpolbul.2019.04.023",https://doi.org/10.1016/j.marpolbul.2019.04.023,"National Marine Environmental Monitoring Center, China",RV Xuelong,259525,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259525,"Ocean Surface, Medium, 0.005-1 pieces/m3",50.24,165.13,9/26/2017,0.33,,0,79cebebf-4cbb-47d2-965b-dad7c1b46170,165.13,50.24
10921,Pacific Ocean,Bering Sea,,,,,Ocean water,,,Manta net,,,,,0.079,pieces/m3,0.005-1,Medium,Mu et al.2019,"Mu, J., Zhang, S., Qu, L., Jin, F, Fang, C., Ma, X., Zhang, W., Wang, J. 2019. Microplastics abundance and characteristics in surface waters from the Northwest Pacific, the Bering Sea, and the Chukchi Sea. Marine Pollution Bulletin 143, 58-65. https://doi.org/10.1016/j.marpolbul.2019.04.023",https://doi.org/10.1016/j.marpolbul.2019.04.023,"National Marine Environmental Monitoring Center, China",RV Xuelong,259525,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259525,"Ocean Surface, Medium, 0.005-1 pieces/m3",56.33,173.7,7/27/2017,0.33,,0,d616f288-f0fd-40a3-b369-65abd3f0d7e5,173.7,56.33
12224,Pacific Ocean,,,,,,Ocean water,,,Manta net,,,,,0.22516,pieces/m3,0.005-1,Medium,Pan et al.2019,"Pan, Z., H. Guo, H. Chen, S. Wang, X. Sun, Q. Zou, Y. Zhang, H. Lin, S. Cai, J. Huang. 2019. Microplastics in the Northwestern Pacific: Abundance, distribution, and characteristics. Science of the Total Environment 650: 1913-1922. https://doi.org/10.1016/j.scitotenv.2018.09.244",https://doi.org/10.1016/j.scitotenv.2018.09.244,"Third Institute of Oceanography, Xiamen, China",,276021,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276021,"Ocean Surface, Medium, 0.005-1 pieces/m3",38.99,146.5139,9/10/2017,0.33,,0,e43d585d-26a0-400d-9f67-c5d645329248,146.513889,38.99
10933,Pacific Ocean,,,,,,Ocean water,,,Manta net,,,,,0.018,pieces/m3,0.005-1,Medium,Mu et al.2019,"Mu, J., Zhang, S., Qu, L., Jin, F, Fang, C., Ma, X., Zhang, W., Wang, J. 2019. Microplastics abundance and characteristics in surface waters from the Northwest Pacific, the Bering Sea, and the Chukchi Sea. Marine Pollution Bulletin 143, 58-65. https://doi.org/10.1016/j.marpolbul.2019.04.023",https://doi.org/10.1016/j.marpolbul.2019.04.023,"National Marine Environmental Monitoring Center, China",RV Xuelong,259525,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:259525,"Ocean Surface, Medium, 0.005-1 pieces/m3",40.32,149.59,9/30/2017,0.33,,0,5215e3a4-31e2-45e4-9785-a6c0fa7b9ae6,149.59,40.32
12213,Pacific Ocean,,,,,,Ocean water,,,Manta net,,,,,0.018033,pieces/m3,0.005-1,Medium,Pan et al.2019,"Pan, Z., H. Guo, H. Chen, S. Wang, X. Sun, Q. Zou, Y. Zhang, H. Lin, S. Cai, J. Huang. 2019. Microplastics in the Northwestern Pacific: Abundance, distribution, and characteristics. Science of the Total Environment 650: 1913-1922. https://doi.org/10.1016/j.scitotenv.2018.09.244",https://doi.org/10.1016/j.scitotenv.2018.09.244,"Third Institute of Oceanography, Xiamen, China",,276021,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276021,"Ocean Surface, Medium, 0.005-1 pieces/m3",40.0003,146.4975,9/10/2017,0.33,,0,7dfa9391-b904-4b78-88d9-331d9333af25,146.4975,40.000278
12223,Pacific Ocean,,,,,,Ocean water,,,Manta net,,,,,0.004667,pieces/m3,0.0005-0.005,Low,Pan et al.2019,"Pan, Z., H. Guo, H. Chen, S. Wang, X. Sun, Q. Zou, Y. Zhang, H. Lin, S. Cai, J. Huang. 2019. Microplastics in the Northwestern Pacific: Abundance, distribution, and characteristics. Science of the Total Environment 650: 1913-1922. https://doi.org/10.1016/j.scitotenv.2018.09.244",https://doi.org/10.1016/j.scitotenv.2018.09.244,"Third Institute of Oceanography, Xiamen, China",,276021,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276021,"Ocean Surface, Low, 0.0005-0.005 pieces/m3",37.9986,146.5228,9/9/2017,0.33,,0,b44fea50-41a3-414d-a5c8-8640615bf828,146.522778,37.998611
12222,Pacific Ocean,,,,,,Ocean water,,,Manta net,,,,,0.004267,pieces/m3,0.0005-0.005,Low,Pan et al.2019,"Pan, Z., H. Guo, H. Chen, S. Wang, X. Sun, Q. Zou, Y. Zhang, H. Lin, S. Cai, J. Huang. 2019. Microplastics in the Northwestern Pacific: Abundance, distribution, and characteristics. Science of the Total Environment 650: 1913-1922. https://doi.org/10.1016/j.scitotenv.2018.09.244",https://doi.org/10.1016/j.scitotenv.2018.09.244,"Third Institute of Oceanography, Xiamen, China",,276021,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276021,"Ocean Surface, Low, 0.0005-0.005 pieces/m3",36.995,146.49,9/9/2017,0.33,,0,70c3da1a-1736-45f4-9ffc-1ef44fbeb930,146.49,36.995
9933,Pacific Ocean,Inland Sea,,,,,Ocean water,,,Grab sample,,,,,0,pieces/m3,0-0.0005,Very Low,Barrows et al.2018,"Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284",https://doi.org/10.1016/j.envpol.2018.02.062,Adventure Scientist,Adventure Scientist/Citizen Science,211009,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",34.262,132.768,9/14/2016,0.0005,,0.45,c0968759-cdb9-4144-9e83-876fbea92858,132.768,34.262
9934,Pacific Ocean,Inland Sea,,,,,Ocean water,,,Grab sample,,,,,0,pieces/m3,0-0.0005,Very Low,Barrows et al.2018,"Barrows, A.P.W., S.E. Cathey, C.W. Petersen. 2018. Marine environment microfiber contamination: global patterns and the diversity of microparticle origins. Environ. Pollut. 237, 275?284",https://doi.org/10.1016/j.envpol.2018.02.062,Adventure Scientist,Adventure Scientist/Citizen Science,211009,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211009,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",34.376,133.238,9/19/2016,0.0005,,0.45,d168898f-46dc-4459-8cb3-d98eb275a0c5,133.238,34.376
